objective,Subjective,label
-0.75,0,agree
-0.75,0,agree
-0.166666667,0,agree
-0.155555556,0,agree
-0.1,0,agree
-0.1,0,agree
-0.1,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0,agree
0,0.066666667,agree
0,0.1,disagree
0,0.1,disagree
0,0.1,disagree
0,0.1,disagree
0,0.125,disagree
0,0.15,disagree
0,0.2,disagree
0,0.2,disagree
0,0.234848485,disagree
0,0.25,disagree
0,0.25,disagree
0.011538462,0.288888889,disagree
0.042857143,0.3,disagree
0.045454545,0.3,disagree
0.125,0.3,agree
0.125,0.3,agree
0.133333333,0.334615385,agree
0.136363636,0.4,agree
0.136363636,0.4,agree
0.194444444,0.4,agree
0.2,0.4,agree
0.2,0.416666667,agree
0.2,0.417857143,agree
0.2,0.422222222,agree
0.25,0.433333333,agree
0.25,0.454545455,agree
0.35,0.454545455,agree
0.375,0.5,agree
0.3875,0.5,agree
0.3875,0.5,agree
0.3875,0.5125,agree
0.3875,0.5125,agree
0.4,0.5125,agree
0.4,0.5125,agree
0.4,0.575,agree
0.46875,0.6,agree
0.5,0.641666667,agree
0.5,0.7,agree
0.5,0.75,agree
0.5,0.9,agree
0.5,0.9,agree
0.5,0.9,agree
0.5,0.9,agree
0.5,0.9,agree
0.5,0.9,agree
0.6,1,agree
0.6,1,agree
0.8,1,agree
0.8,1,agree
1,1,agree