Subjective,label
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0,negative
0.066666667,negative
0.1,neutral
0.1,neutral
0.1,neutral
0.1,neutral
0.125,positive
0.15,positive
0.2,positive
0.2,positive
0.234848485,positive
0.25,positive
0.25,positive
0.288888889,positive
0.3,positive
0.3,positive
0.3,positive
0.3,positive
0.334615385,positive
0.4,positive
0.4,positive
0.4,positive
0.4,positive
0.416666667,positive
0.417857143,positive
0.422222222,positive
0.433333333,positive
0.454545455,positive
0.454545455,positive
0.5,positive
0.5,positive
0.5,positive
0.5125,positive
0.5125,positive
0.5125,positive
0.5125,positive
0.575,positive
0.6,positive
0.641666667,positive
0.7,positive
0.75,positive
0.9,positive
0.9,positive
0.9,positive
0.9,positive
0.9,positive
0.9,positive
1,positive
1,positive
1,positive
1,positive
1,positive